latitude,longitude
52.34183,4.912777
52.34184,4.915182
52.34185,4.917586
52.34186,4.91999
52.34187,4.922394
52.34188,4.924798
52.34188,4.927202
52.3419,4.929606
52.3419,4.932011
52.34191,4.934415
52.34192,4.936819
52.34193,4.939223
52.34194,4.941627
52.34195,4.944031
52.34196,4.946435
52.34197,4.94884
52.34198,4.951243
52.34198,4.953648
52.342,4.956052
52.342,4.958456
52.34201,4.96086
52.34202,4.963264
52.34203,4.965669
52.34204,4.968072
52.34204,4.970477
52.34205,4.972881
52.34206,4.975285
52.34291,4.823807
52.34292,4.826211
52.34293,4.828616
52.34295,4.83102
52.34296,4.833424
52.34297,4.835828
52.34298,4.838232
52.34299,4.840636
52.343,4.84304
52.34301,4.845445
52.34302,4.847849
52.34303,4.850253
52.34304,4.852657
52.34306,4.855062
52.34307,4.857466
52.34308,4.859869
52.34309,4.862274
52.3431,4.864678
52.34311,4.867082
52.34312,4.869486
52.34313,4.871891
52.34314,4.874295
52.34315,4.876699
52.34316,4.879103
52.34317,4.881507
52.34318,4.883912
52.34319,4.886316
52.3432,4.88872
52.34321,4.891124
52.34322,4.893528
52.34323,4.895932
52.34324,4.898336
52.34325,4.900741
52.34326,4.903145
52.34327,4.905549
52.34328,4.907953
52.34329,4.910357
52.3433,4.912762
52.34331,4.915166
52.34332,4.91757
52.34333,4.919974
52.34334,4.922379
52.34335,4.924783
52.34336,4.927187
52.34337,4.929591
52.34338,4.931995
52.34338,4.9344
52.3434,4.936804
52.3434,4.939208
52.34341,4.941612
52.34342,4.944016
52.34343,4.946421
52.34344,4.948825
52.34345,4.951229
52.34346,4.953633
52.34347,4.956038
52.34348,4.958442
52.34348,4.960846
52.34349,4.96325
52.3435,4.965654
52.34351,4.968059
52.34352,4.970463
52.34352,4.972867
52.34354,4.975271
52.34438,4.823789
52.34439,4.826193
52.34441,4.828597
52.34442,4.831001
52.34443,4.833405
52.34444,4.83581
52.34445,4.838214
52.34446,4.840618
52.34447,4.843022
52.34448,4.845427
52.34449,4.847831
52.34451,4.850235
52.34452,4.85264
52.34453,4.855044
52.34454,4.857448
52.34455,4.859852
52.34456,4.862257
52.34457,4.864661
52.34458,4.867065
52.34459,4.869469
52.3446,4.871873
52.34461,4.874278
52.34462,4.876682
52.34464,4.879086
52.34464,4.881491
52.34465,4.883895
52.34467,4.886299
52.34467,4.888703
52.34468,4.891108
52.3447,4.893512
52.3447,4.895916
52.34472,4.89832
52.34472,4.900725
52.34473,4.903129
52.34475,4.905533
52.34475,4.907938
52.34476,4.910342
52.34477,4.912746
52.34478,4.91515
52.34479,4.917554
52.3448,4.919959
52.34481,4.922363
52.34482,4.924767
52.34483,4.927172
52.34484,4.929576
52.34485,4.93198
52.34486,4.934385
52.34487,4.936789
52.34488,4.939193
52.34489,4.941597
52.34489,4.944002
52.3449,4.946406
52.34491,4.948811
52.34492,4.951215
52.34493,4.953619
52.34494,4.956023
52.34495,4.958427
52.34496,4.960832
52.34496,4.963236
52.34497,4.965641
52.34498,4.968045
52.34499,4.970449
52.345,4.972853
52.34501,4.975258
52.34586,4.82377
52.34587,4.826174
52.34588,4.828578
52.34589,4.830983
52.3459,4.833387
52.34591,4.835792
52.34592,4.838196
52.34594,4.8406
52.34595,4.843004
52.34595,4.845409
52.34597,4.847813
52.34598,4.850217
52.34599,4.852622
52.346,4.855026
52.34601,4.85743
52.34602,4.859835
52.34603,4.862239
52.34604,4.864644
52.34605,4.867048
52.34607,4.869452
52.34607,4.871856
52.34608,4.874261
52.3461,4.876665
52.34611,4.879069
52.34612,4.881474
52.34613,4.883878
52.34614,4.886282
52.34615,4.888687
52.34616,4.891091
52.34617,4.893496
52.34618,4.8959
52.34619,4.898304
52.3462,4.900709
52.34621,4.903113
52.34622,4.905517
52.34623,4.907922
52.34624,4.910326
52.34624,4.91273
52.34626,4.915134
52.34626,4.917539
52.34628,4.919943
52.34628,4.922348
52.34629,4.924752
52.3463,4.927156
52.34631,4.929561
52.34632,4.931965
52.34633,4.93437
52.34634,4.936774
52.34635,4.939178
52.34636,4.941583
52.34637,4.943987
52.34637,4.946392
52.34639,4.948796
52.34639,4.9512
52.3464,4.953605
52.34641,4.956009
52.34642,4.958413
52.34643,4.960818
52.34644,4.963222
52.34645,4.965627
52.34645,4.968031
52.34646,4.970435
52.34647,4.97284
52.34648,4.975244
52.34733,4.823751
52.34734,4.826156
52.34735,4.82856
52.34736,4.830965
